Table 37,HAVANT and HAYLING ISLAND,,Weekdays,,,,,,,,,,,,,,,,,,Sundays,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Commences 6th May 1951,,,,,,,,
Miles,Down,,am,am,am,am,am,am,pm,pm,SO,pm,pm,pm,SX,SO,SX,SO,SX,SO,am,am,pm,pm,pm,pm,pm,pm,pm
0,Havant,dep,635,734,820,907,1019,1119,1236,134,220,334,442,533,620,634,720,734,820,834,1035,1135,1235,135,235,335,535,635,735
1,Langston,,638,737,823,910,1022,1122,1239,137,223,337,445,536,623,637,723,737,823,837,1038,1138,1238,138,238,338,538,638,738
2.5,North Hayling,,,741,827,916,1026,1126,1243,141,227,341,449,540,627,641,727,741,827,841,1042,1142,1242,142,242,342,542,642,742
4.5,Hayling Island,arr,645,747,833,922,1032,1132,1249,147,233,347,455,546,633,647,733,747,833,847,1048,1148,1248,148,248,348,548,648,748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 37,HAYLING ISLAND and HAVANT,,Weekdays,,,,,,,,,,,,,,,,,,Sundays,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Commences 6th May 1951,,,,,,,,
Miles,,,am,am,am,am,am,am,pm,SO,SX,SO,pm,pm,pm,pm,pm,pm,,,am,am,pm,pm,pm,pm,pm,pm,pm
0,Hayling Island,dep,707,800,840,945,1052,1155,1255,155,253,257,416,506,557,652,752,852,,,1055,1155,1255,155,255,455,555,655,755
2,North Hayling,,712,804,844,949,1056,1159,1259,159,259,301,420,510,601,656,756,856,,,1059,1159,1259,159,259,459,559,659,759
3.5,Langston,,716,809,849,954,1101,1204,104,204,305,306,425,515,606,701,801,901,,,1104,1204,104,204,304,504,604,704,804
4.5,Havant,arr,720,815,853,958,1105,1208,108,208,310,310,429,519,610,705,805,905,,,1108,1208,108,208,308,508,608,708,808
